ekpy_heading
initial_delay:::5e-5
pulse_delay:::5e-6
freq:::10
voltage:::1
capacitor_area:::4e-8
thickness:::10e-9
permittivity:::30
amplification:::8
format:::0
type:::0
points:::995
count:::1
x_increment:::4.72e-07
x_origin:::2.71050543e-20
x_reference:::0
y_increment:::0.010050250217318535
y_origin:::0.0
y_reference:::0
trial:::0
filename:::fe_pv__3.csv
ekpy_heading_complete
time_v,wfm_v,time_c,wfm_c
2.71050543e-20,-0.010050250217318535,2.71050543e-20,-0.010050250217318535
4.720000000000271e-07,-0.010050250217318535,4.720000000000271e-07,0.0
9.440000000000271e-07,-0.010050250217318535,9.440000000000271e-07,0.0
1.4160000000000272e-06,0.0,1.4160000000000272e-06,-0.010050250217318535
1.888000000000027e-06,-0.010050250217318535,1.888000000000027e-06,0.0
2.360000000000027e-06,-0.010050250217318535,2.360000000000027e-06,-0.010050250217318535
2.8320000000000273e-06,-0.02010050043463707,2.8320000000000273e-06,0.0
3.304000000000027e-06,-0.02010050043463707,3.304000000000027e-06,-0.010050250217318535
3.776000000000027e-06,-0.010050250217318535,3.776000000000027e-06,0.0
4.248000000000027e-06,0.0,4.248000000000027e-06,-0.010050250217318535
4.720000000000027e-06,-0.010050250217318535,4.720000000000027e-06,-0.010050250217318535
5.192000000000027e-06,-0.010050250217318535,5.192000000000027e-06,-0.010050250217318535
5.6640000000000274e-06,-0.010050250217318535,5.6640000000000274e-06,0.0
6.136000000000027e-06,0.0,6.136000000000027e-06,-0.010050250217318535
6.608000000000027e-06,0.0,6.608000000000027e-06,-0.010050250217318535
7.080000000000027e-06,-0.010050250217318535,7.080000000000027e-06,-0.010050250217318535
7.552000000000027e-06,0.0,7.552000000000027e-06,-0.010050250217318535
8.024000000000027e-06,-0.010050250217318535,8.024000000000027e-06,0.0
8.496000000000027e-06,-0.010050250217318535,8.496000000000027e-06,-0.010050250217318535
8.968000000000027e-06,-0.010050250217318535,8.968000000000027e-06,0.0
9.440000000000027e-06,-0.010050250217318535,9.440000000000027e-06,0.0
9.912000000000026e-06,-0.010050250217318535,9.912000000000026e-06,-0.010050250217318535
1.0384000000000026e-05,-0.010050250217318535,1.0384000000000026e-05,0.0
1.0856000000000026e-05,0.0,1.0856000000000026e-05,-0.010050250217318535
1.1328000000000028e-05,-0.010050250217318535,1.1328000000000028e-05,-0.010050250217318535
1.1800000000000028e-05,-0.010050250217318535,1.1800000000000028e-05,-0.010050250217318535
1.2272000000000028e-05,0.0,1.2272000000000028e-05,-0.010050250217318535
1.2744000000000027e-05,-0.02010050043463707,1.2744000000000027e-05,-0.010050250217318535
1.3216000000000027e-05,-0.010050250217318535,1.3216000000000027e-05,0.0
1.3688000000000027e-05,0.0,1.3688000000000027e-05,-0.010050250217318535
1.4160000000000027e-05,-0.010050250217318535,1.4160000000000027e-05,-0.010050250217318535
1.4632000000000027e-05,-0.010050250217318535,1.4632000000000027e-05,0.0
1.5104000000000027e-05,-0.010050250217318535,1.5104000000000027e-05,0.0
1.557600000000003e-05,-0.010050250217318535,1.557600000000003e-05,-0.010050250217318535
1.6048000000000027e-05,-0.010050250217318535,1.6048000000000027e-05,0.0
1.6520000000000028e-05,-0.010050250217318535,1.6520000000000028e-05,-0.010050250217318535
1.6992000000000026e-05,-0.010050250217318535,1.6992000000000026e-05,0.0
1.7464000000000028e-05,-0.010050250217318535,1.7464000000000028e-05,-0.010050250217318535
1.7936000000000026e-05,0.0,1.7936000000000026e-05,-0.010050250217318535
1.8408000000000028e-05,0.0,1.8408000000000028e-05,-0.010050250217318535
1.8880000000000026e-05,0.0,1.8880000000000026e-05,-0.010050250217318535
1.9352000000000027e-05,-0.010050250217318535,1.9352000000000027e-05,-0.010050250217318535
1.9824000000000026e-05,-0.010050250217318535,1.9824000000000026e-05,-0.010050250217318535
2.0296000000000027e-05,-0.010050250217318535,2.0296000000000027e-05,0.0
2.0768000000000025e-05,-0.010050250217318535,2.0768000000000025e-05,-0.010050250217318535
2.1240000000000027e-05,-0.010050250217318535,2.1240000000000027e-05,-0.010050250217318535
2.1712000000000025e-05,-0.010050250217318535,2.1712000000000025e-05,-0.010050250217318535
2.2184000000000027e-05,0.0,2.2184000000000027e-05,-0.010050250217318535
2.265600000000003e-05,-0.010050250217318535,2.265600000000003e-05,-0.010050250217318535
2.3128000000000027e-05,-0.010050250217318535,2.3128000000000027e-05,-0.010050250217318535
2.3600000000000028e-05,-0.02010050043463707,2.3600000000000028e-05,-0.010050250217318535
2.4072000000000026e-05,-0.010050250217318535,2.4072000000000026e-05,-0.010050250217318535
2.4544000000000028e-05,-0.02010050043463707,2.4544000000000028e-05,-0.010050250217318535
2.5016000000000026e-05,-0.010050250217318535,2.5016000000000026e-05,-0.010050250217318535
2.5488000000000028e-05,-0.02010050043463707,2.5488000000000028e-05,0.0
2.5960000000000026e-05,-0.010050250217318535,2.5960000000000026e-05,-0.010050250217318535
